-THEREDDKING-,F1 League Meet #2,01/07/17 12:07:40 PM,California
Q-1|9433,9220|6373,6370|35,-1,-1,-1,-1|22,-1,-1,-1,-1
Q-2|5755,7835|8635,6374|55,-1,-1,-1,-1|35,-1,-1,-1,-1
Q-3|6371,6370|10217,5755|36,-1,-1,-1,-1|40,-1,-1,-1,-1
Q-4|6374,6371|10217,6373|45,-1,-1,-1,-1|30,-1,-1,-1,-1
Q-5|9433,8635|9220,7835|110,-1,-1,-1,-1|65,-1,-1,-1,-1
Q-6|9433,5755|10217,9220|50,-1,-1,-1,-1|80,-1,-1,-1,-1
Q-7|6374,6373|6370,8635|20,-1,-1,-1,-1|32,-1,-1,-1,-1
Q-8|7835,6374|6371,9220|105,-1,-1,-1,-1|45,-1,-1,-1,-1
Q-9|10217,7835|6373,5755|60,-1,-1,-1,-1|25,-1,-1,-1,-1
Q-10|6371,8635|9433,6370|75,-1,-1,-1,-1|40,-1,-1,-1,-1
Q-11|8635,9220|10217,6371|40,-1,-1,-1,-1|25,-1,-1,-1,-1
Q-12|9433,6373|5755,6374|30,-1,-1,-1,-1|50,-1,-1,-1,-1
Q-13|6370,10217|7835,9433|22,-1,-1,-1,-1|95,-1,-1,-1,-1
-THEREDDKING-,F2 Meet 2,01/07/17 03:34:28 PM,California
Q-1|11971,12109|6372,7832|35,-1,-1,-1,-1|65,-1,-1,-1,-1
Q-2|5827,12109|7833,11971|15,-1,-1,-1,-1|50,-1,-1,-1,-1
Q-3|6372,7833|5827,7832|65,-1,-1,-1,-1|75,-1,-1,-1,-1
Q-4|6372,11971|7832,5827|65,-1,-1,-1,-1|50,-1,-1,-1,-1
Q-5|12109,6372|7833,5827|50,-1,-1,-1,-1|35,-1,-1,-1,-1
Q-6|7832,11971|7833,12109|90,-1,-1,-1,-1|10,-1,-1,-1,-1
Q-7|7832,7833|6372,11971|60,-1,-1,-1,-1|70,-1,-1,-1,-1
Q-8|5827,6372|12109,7832|70,-1,-1,-1,-1|75,-1,-1,-1,-1
-THEREDDKING-,LA FTC Zone D Meet 2,01/08/17 01:09:49 PM,California
Q-1|11683,8894|5942,5218|80,-1,-1,-1,-1|70,-1,-1,-1,-1
Q-2|9247,9894|11046,25|30,-1,-1,-1,-1|90,-1,-1,-1,-1
Q-3|8496,6282|4348,10298|115,-1,-1,-1,-1|55,-1,-1,-1,-1
Q-4|11167,8894|8415,9247|105,-1,-1,-1,-1|50,-1,-1,-1,-1
Q-5|9894,25|5942,6282|65,-1,-1,-1,-1|90,-1,-1,-1,-1
Q-6|8415,10298|11046,11683|120,-1,-1,-1,-1|40,-1,-1,-1,-1
Q-7|8496,4348|11167,5218|125,-1,-1,-1,-1|115,-1,-1,-1,-1
Q-8|8894,8415|6282,9894|55,-1,-1,-1,-1|30,-1,-1,-1,-1
Q-9|9247,5218|10298,5942|80,-1,-1,-1,-1|115,-1,-1,-1,-1
Q-10|11046,4348|11683,8496|80,-1,-1,-1,-1|35,-1,-1,-1,-1
Q-11|11167,10298|25,8894|125,-1,-1,-1,-1|80,-1,-1,-1,-1
Q-12|11683,9247|9894,8496|100,-1,-1,-1,-1|100,-1,-1,-1,-1
Q-13|8415,25|4348,5218|95,-1,-1,-1,-1|75,-1,-1,-1,-1
Q-14|11046,5942|11167,6282|90,-1,-1,-1,-1|25,-1,-1,-1,-1
Q-15|4348,9894|10298,8894|50,-1,-1,-1,-1|110,-1,-1,-1,-1
Q-16|6282,11683|11167,9247|60,-1,-1,-1,-1|15,-1,-1,-1,-1
Q-17|5942,25|8415,8496|145,-1,-1,-1,-1|105,-1,-1,-1,-1
Q-18|5218,8894|11046,6282|115,-1,-1,-1,-1|30,-1,-1,-1,-1
-THEREDDKING-,League-A2-YULA-Jan8-2017,01/08/17 11:57:21 AM,California
Q-1|5363,12046|9804,9600|10,-1,-1,-1,-1|25,-1,-1,-1,-1
Q-2|11736,11313|5285,7092|100,-1,-1,-1,-1|45,-1,-1,-1,-1
Q-3|11313,7092|9441,12046|40,-1,-1,-1,-1|80,-1,-1,-1,-1
Q-4|5285,9804|9600,9441|45,-1,-1,-1,-1|110,-1,-1,-1,-1
Q-5|11736,9441|5363,11313|70,-1,-1,-1,-1|55,-1,-1,-1,-1
Q-6|7092,11736|9600,12046|30,-1,-1,-1,-1|10,-1,-1,-1,-1
Q-7|5363,9804|5285,11313|95,-1,-1,-1,-1|5,-1,-1,-1,-1
Q-8|12046,9804|5363,11736|70,-1,-1,-1,-1|40,-1,-1,-1,-1
Q-9|5285,9600|9441,7092|10,-1,-1,-1,-1|100,-1,-1,-1,-1
Q-10|9441,5285|11736,12046|75,-1,-1,-1,-1|40,-1,-1,-1,-1
Q-11|9600,7092|9804,11313|40,-1,-1,-1,-1|120,-1,-1,-1,-1
Q-12|5363,9600|7092,11736|25,-1,-1,-1,-1|40,-1,-1,-1,-1
